file_name,parent_file_train,number_of_segments_train,number_of_voices_parent_train,parent_label_train,segment_label_train,noisy,extra_sounds,notes,Noisy,extra sounds,Notes
lpg39tdh1bv51_processed_0,lpg39tdh1bv51,4,6.0,0.0,0.0,1.0,,,1.0,,
lpg39tdh1bv51_processed_1,lpg39tdh1bv51,4,6.0,0.0,0.0,1.0,,excessive laughing,1.0,,
lpg39tdh1bv51_processed_2,lpg39tdh1bv51,4,6.0,0.0,0.0,1.0,,excessive laughing,1.0,,
ltdu6anws3m61_processed_0,ltdu6anws3m61,4,2.0,1.0,1.0,0.0,,,0.0,,
ltdu6anws3m61_processed_1,ltdu6anws3m61,4,2.0,1.0,1.0,0.0,,,0.0,,
ltdu6anws3m61_processed_2,ltdu6anws3m61,4,2.0,1.0,0.0,0.0,,,0.0,,
ltdu6anws3m61_processed_3,ltdu6anws3m61,4,2.0,1.0,1.0,0.0,,,0.0,,
lucypf71qsq61_processed_0,lucypf71qsq61,2,3.0,0.0,0.0,0.0,Car braking,car screeching,0.0,,
lucypf71qsq61_processed_1,lucypf71qsq61,2,3.0,0.0,0.0,0.0,,sounds like a news channel,0.0,,
lw7oinwrkce61_processed_0,lw7oinwrkce61,7,15.0,0.0,0.0,0.0,crowd sound,,0.0,,
lw7oinwrkce61_processed_1,lw7oinwrkce61,7,15.0,0.0,0.0,0.0,crowd sound,,0.0,,
lw7oinwrkce61_processed_2,lw7oinwrkce61,7,15.0,0.0,0.0,0.0,crowd sound,,0.0,,
lw7oinwrkce61_processed_3,lw7oinwrkce61,7,15.0,0.0,0.0,0.0,crowd sound,,0.0,,
lw7oinwrkce61_processed_4,lw7oinwrkce61,7,15.0,0.0,0.0,0.0,crowd sound,Intro music,0.0,,
lw7oinwrkce61_processed_5,lw7oinwrkce61,7,15.0,0.0,0.0,0.0,crowd sound,,0.0,,
lw7oinwrkce61_processed_6,lw7oinwrkce61,7,15.0,0.0,0.0,0.0,crowd sound,,0.0,,
lx077nt8fw061_processed_0,lx077nt8fw061,6,1.0,0.0,0.0,0.0,music,music instruments,0.0,,
lx077nt8fw061_processed_1,lx077nt8fw061,6,1.0,0.0,0.0,0.0,music,music instruments,0.0,,
lx077nt8fw061_processed_2,lx077nt8fw061,6,1.0,0.0,0.0,1.0,music,music instruments,0.0,,
lx077nt8fw061_processed_3,lx077nt8fw061,6,1.0,0.0,0.0,0.0,music,music instruments,0.0,,
lx077nt8fw061_processed_4,lx077nt8fw061,6,1.0,0.0,0.0,0.0,music,music instruments,0.0,,
lx077nt8fw061_processed_5,lx077nt8fw061,6,1.0,0.0,0.0,0.0,music,music instruments,0.0,,
ly8o58ksw8361_processed_0,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_0,ly8o58ksw8361,14,9999.0,1.0,0.0,1.0,,,0.0,,
ly8o58ksw8361_processed_1,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_2,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_3,ly8o58ksw8361,14,9999.0,1.0,1.0,0.0,,,0.0,,
ly8o58ksw8361_processed_4,ly8o58ksw8361,14,9999.0,1.0,1.0,0.0,,,0.0,,
ly8o58ksw8361_processed_5,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_6,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_7,ly8o58ksw8361,14,9999.0,1.0,1.0,0.0,,,0.0,,
ly8o58ksw8361_processed_8,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,clapping,clapping,0.0,,
ly8o58ksw8361_processed_9,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_10,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_11,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_12,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
ly8o58ksw8361_processed_13,ly8o58ksw8361,14,9999.0,1.0,0.0,0.0,,,0.0,,
m0c72n06yqw51_processed_0,m0c72n06yqw51,13,9999.0,2.0,1.0,1.0,Shouting,,0.0,,
m0c72n06yqw51_processed_1,m0c72n06yqw51,13,9999.0,2.0,0.0,0.0,,,0.0,,
m0c72n06yqw51_processed_2,m0c72n06yqw51,13,9999.0,2.0,1.0,0.0,,,0.0,,
m0c72n06yqw51_processed_3,m0c72n06yqw51,13,9999.0,2.0,1.0,0.0,clapping,,0.0,,
m0c72n06yqw51_processed_4,m0c72n06yqw51,13,9999.0,2.0,1.0,0.0,,,0.0,,
m0c72n06yqw51_processed_5,m0c72n06yqw51,13,9999.0,2.0,0.0,0.0,,,0.0,,
m0c72n06yqw51_processed_6,m0c72n06yqw51,13,9999.0,2.0,1.0,0.0,,,0.0,,
m0c72n06yqw51_processed_7,m0c72n06yqw51,13,9999.0,2.0,1.0,0.0,,,1.0,,
m0c72n06yqw51_processed_8,m0c72n06yqw51,13,9999.0,2.0,1.0,0.0,,,1.0,,
m0c72n06yqw51_processed_9,m0c72n06yqw51,13,9999.0,2.0,2.0,0.0,,,1.0,,
m0c72n06yqw51_processed_10,m0c72n06yqw51,13,9999.0,2.0,2.0,0.0,,,1.0,,
m1vc0299apb71_processed_1,m1vc0299apb71,4,3.0,2.0,1.0,0.0,,,0.0,,
m1vc0299apb71_processed_2,m1vc0299apb71,4,3.0,2.0,2.0,0.0,,,0.0,,
m4xpc2rkprn61_processed_0,m4xpc2rkprn61,4,2.0,0.0,0.0,0.0,,,0.0,,
m4xpc2rkprn61_processed_1,m4xpc2rkprn61,4,2.0,0.0,0.0,0.0,,,0.0,,
m4xpc2rkprn61_processed_2,m4xpc2rkprn61,4,2.0,0.0,0.0,0.0,,,0.0,,
m4xpc2rkprn61_processed_3,m4xpc2rkprn61,4,2.0,0.0,0.0,0.0,,,0.0,,
m8webkagg7m61_processed_0,m8webkagg7m61,2,9999.0,1.0,0.0,1.0,Crowd,,1.0,,
m8webkagg7m61_processed_1,m8webkagg7m61,2,9999.0,1.0,0.0,1.0,crowd,,1.0,,
mcytmm3n9fn51_processed_0,mcytmm3n9fn51,3,4.0,1.0,1.0,0.0,,,1.0,,
mec1zmiwqbp51_processed_0,mec1zmiwqbp51,8,1.0,0.0,0.0,0.0,"stadium, crowd",,1.0,,
mec1zmiwqbp51_processed_1,mec1zmiwqbp51,8,1.0,0.0,0.0,0.0,commentator,crowd voice,1.0,,
mec1zmiwqbp51_processed_2,mec1zmiwqbp51,8,1.0,0.0,0.0,0.0,,,1.0,,
mec1zmiwqbp51_processed_3,mec1zmiwqbp51,8,1.0,0.0,0.0,0.0,,,1.0,,
mec1zmiwqbp51_processed_4,mec1zmiwqbp51,8,1.0,0.0,0.0,0.0,,,1.0,,
mec1zmiwqbp51_processed_5,mec1zmiwqbp51,8,1.0,0.0,0.0,0.0,,crowd voice,1.0,,
mec1zmiwqbp51_processed_6,mec1zmiwqbp51,8,1.0,0.0,0.0,0.0,,,1.0,,
mec1zmiwqbp51_processed_7,mec1zmiwqbp51,8,1.0,0.0,0.0,0.0,,,1.0,,
meztou6z1n571_processed_0,meztou6z1n571,10,2.0,2.0,2.0,0.0,,,0.0,,
meztou6z1n571_processed_1,meztou6z1n571,10,2.0,2.0,1.0,0.0,,,0.0,,
meztou6z1n571_processed_2,meztou6z1n571,10,2.0,2.0,1.0,0.0,,,0.0,,
meztou6z1n571_processed_3,meztou6z1n571,10,2.0,2.0,1.0,0.0,,,0.0,,
meztou6z1n571_processed_4,meztou6z1n571,10,2.0,2.0,2.0,0.0,,,0.0,,
meztou6z1n571_processed_5,meztou6z1n571,10,2.0,2.0,2.0,0.0,,,0.0,,
meztou6z1n571_processed_6,meztou6z1n571,10,2.0,2.0,1.0,0.0,,,0.0,,
meztou6z1n571_processed_7,meztou6z1n571,10,2.0,2.0,1.0,0.0,,,0.0,,
meztou6z1n571_processed_8,meztou6z1n571,10,2.0,2.0,2.0,0.0,,,0.0,,
meztou6z1n571_processed_9,meztou6z1n571,10,2.0,2.0,1.0,0.0,,short clip,0.0,,
mj5978ktwup61_processed_0,mj5978ktwup61,24,9999.0,0.0,0.0,1.0,"crowd, music",,1.0,,
mj5978ktwup61_processed_1,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,"music, cheering",,1.0,,
mj5978ktwup61_processed_2,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,"music, cheering",,1.0,,
mj5978ktwup61_processed_3,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,"music, cheering",,1.0,,
mj5978ktwup61_processed_4,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,"music, cheering",,1.0,,
mj5978ktwup61_processed_5,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,"music, cheering",,1.0,,
mj5978ktwup61_processed_6,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,"music, cheering",,1.0,,
mj5978ktwup61_processed_7,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,"music, cheering",,1.0,,
mj5978ktwup61_processed_8,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music ,,1.0,,
mj5978ktwup61_processed_9,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_10,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_11,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_12,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_13,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,shouting,,1.0,,
mj5978ktwup61_processed_14,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_15,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_16,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_17,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_18,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_19,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_20,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_21,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_22,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mj5978ktwup61_processed_23,mj5978ktwup61,24,9999.0,0.0,0.0,0.0,music,,1.0,,
mjb2xa7mr9261_processed_0,mjb2xa7mr9261,1,2.0,1.0,1.0,1.0,,,0.0,,
mkbk8qpfj2y51_processed_0,mkbk8qpfj2y51,4,1.0,1.0,0.0,0.0,"clapping, cheering, laughing",,1.0,,
mkbk8qpfj2y51_processed_1,mkbk8qpfj2y51,4,1.0,1.0,0.0,0.0,"clapping, cheering, laughing",,1.0,,
mkbk8qpfj2y51_processed_2,mkbk8qpfj2y51,4,1.0,1.0,0.0,0.0,"clapping, cheering, laughing",,1.0,,
mkbk8qpfj2y51_processed_3,mkbk8qpfj2y51,4,1.0,1.0,1.0,0.0,"clapping, cheering, laughing",,1.0,,
mkqaqv2byus51_processed_0,mkqaqv2byus51,3,3.0,0.0,0.0,0.0,,,0.0,,
mkqaqv2byus51_processed_1,mkqaqv2byus51,3,3.0,0.0,0.0,0.0,CROWD,,0.0,,
mkqaqv2byus51_processed_2,mkqaqv2byus51,3,3.0,0.0,0.0,0.0,,,0.0,,
mldhqpjwf2q51_processed_0,mldhqpjwf2q51,6,3.0,2.0,0.0,0.0,,,0.0,,
mldhqpjwf2q51_processed_4,mldhqpjwf2q51,6,3.0,2.0,2.0,0.0,"shouting, crying",,0.0,,
mmdsp3lm12q61_processed_0,mmdsp3lm12q61,4,1.0,0.0,0.0,0.0,laugh,,0.0,,
mmdsp3lm12q61_processed_1,mmdsp3lm12q61,4,1.0,0.0,0.0,0.0,,,0.0,,
mmdsp3lm12q61_processed_2,mmdsp3lm12q61,4,1.0,0.0,0.0,0.0,,,0.0,,
mmdsp3lm12q61_processed_3,mmdsp3lm12q61,4,1.0,0.0,0.0,0.0,,,0.0,,
mnsrlkt6ns961_processed_0,mnsrlkt6ns961,5,3.0,1.0,1.0,0.0,cops siren,,0.0,,
mnsrlkt6ns961_processed_1,mnsrlkt6ns961,5,3.0,1.0,1.0,0.0,,,0.0,,
mnsrlkt6ns961_processed_2,mnsrlkt6ns961,5,3.0,1.0,1.0,0.0,,,0.0,,
mnsrlkt6ns961_processed_3,mnsrlkt6ns961,5,3.0,1.0,1.0,0.0,,,0.0,,
mnsrlkt6ns961_processed_4,mnsrlkt6ns961,5,3.0,1.0,1.0,0.0,,,0.0,,
mnzuaeug89y61_processed_0,mnzuaeug89y61,2,1.0,3.0,3.0,0.0,gunshots,,0.0,,
mnzuaeug89y61_processed_1,mnzuaeug89y61,2,1.0,3.0,3.0,0.0,gunshots,,0.0,,
mpg48m5spaq51_processed_0,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_1,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_2,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_3,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_4,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_5,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_6,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_7,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_8,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_9,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_10,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_11,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_12,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_13,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_14,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_15,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_16,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mpg48m5spaq51_processed_17,mpg48m5spaq51,18,28.0,0.0,0.0,0.0,,,0.0,,
mrkrwoz7qs971_processed_0,mrkrwoz7qs971,6,3.0,1.0,0.0,0.0,water splash,,0.0,,
mrkrwoz7qs971_processed_1,mrkrwoz7qs971,6,3.0,1.0,0.0,0.0,,,0.0,,
mrkrwoz7qs971_processed_2,mrkrwoz7qs971,6,3.0,1.0,1.0,0.0,water splash,,0.0,,
mrkrwoz7qs971_processed_3,mrkrwoz7qs971,6,3.0,1.0,1.0,0.0,"water splash, laugh",,0.0,,
mrkrwoz7qs971_processed_4,mrkrwoz7qs971,6,3.0,1.0,1.0,0.0,"laugh, shouting",,0.0,,
mrkrwoz7qs971_processed_5,mrkrwoz7qs971,6,3.0,1.0,0.0,0.0,laugh,,0.0,,
mta9j16sw7971_processed_0,mta9j16sw7971,5,2.0,2.0,2.0,0.0,,,0.0,,
mta9j16sw7971_processed_1,mta9j16sw7971,5,2.0,2.0,2.0,0.0,shouting,,0.0,,
mta9j16sw7971_processed_2,mta9j16sw7971,5,3.0,2.0,1.0,0.0,car horns,,0.0,,
mta9j16sw7971_processed_3,mta9j16sw7971,5,3.0,2.0,1.0,0.0,loud speakers,,0.0,,
mvkwg07padw61_processed_0,mvkwg07padw61,6,9999.0,1.0,0.0,1.0,crowd,,1.0,,
mvkwg07padw61_processed_1,mvkwg07padw61,6,9999.0,1.0,1.0,0.0,,,1.0,,
mvkwg07padw61_processed_2,mvkwg07padw61,6,9999.0,1.0,0.0,0.0,,,1.0,,
mvkwg07padw61_processed_3,mvkwg07padw61,6,9999.0,1.0,0.0,0.0,crowd,,1.0,,
mvkwg07padw61_processed_4,mvkwg07padw61,6,9999.0,1.0,0.0,1.0,music,,1.0,,
mvkwg07padw61_processed_5,mvkwg07padw61,6,9999.0,1.0,0.0,0.0,,,1.0,,
my29g93sck271_processed_0,my29g93sck271,6,2.0,0.0,0.0,0.0,music,,0.0,,
my29g93sck271_processed_1,my29g93sck271,6,2.0,0.0,0.0,0.0,music,,0.0,,
my29g93sck271_processed_2,my29g93sck271,6,2.0,0.0,0.0,0.0,music,,0.0,,
my29g93sck271_processed_3,my29g93sck271,6,2.0,0.0,0.0,0.0,music,,0.0,,
my29g93sck271_processed_4,my29g93sck271,6,2.0,0.0,0.0,0.0,music,,0.0,,
my29g93sck271_processed_5,my29g93sck271,6,2.0,0.0,0.0,0.0,music,,0.0,,
mym3ighjzsa71_processed_1,mym3ighjzsa71,2,2.0,2.0,2.0,0.0,,,0.0,,
mz9ghl1azoh61_processed_0,mz9ghl1azoh61,2,3.0,0.0,0.0,0.0,,,0.0,,
mz9ghl1azoh61_processed_1,mz9ghl1azoh61,2,3.0,0.0,0.0,0.0,,,0.0,,
n0ekog764gj61_processed_0,n0ekog764gj61,3,9999.0,2.0,2.0,1.0,crowd,,1.0,,
n0ekog764gj61_processed_1,n0ekog764gj61,3,9999.0,2.0,2.0,1.0,"crowd, shouting",,1.0,,
n1sb7uktynz51_processed_0,n1sb7uktynz51,2,2.0,0.0,0.0,0.0,car horns,,0.0,,
n1sb7uktynz51_processed_1,n1sb7uktynz51,2,2.0,0.0,0.0,0.0,,,0.0,,
n4fckc6j9vk61_processed_0,n4fckc6j9vk61,9,4.0,2.0,1.0,0.0,,,0.0,,
n4fckc6j9vk61_processed_1,n4fckc6j9vk61,9,4.0,2.0,1.0,0.0,,,0.0,,
